fromId,toId,distanceMeters,speedKph,undirected
1,2,39.3,5,1
1,3,321.6,5,1
1,5,299.9,5,1
1,10,218.1,5,1
1,11,258.8,5,1
1,17,389.4,5,1
1,29,467.0,5,1
1,30,22.3,5,1
1,43,493.0,5,1
1,48,320.9,5,1
1,62,123.5,5,1
1,65,27.8,5,1
1,66,136.8,5,1
1,89,466.5,5,1
2,3,359.9,5,1
2,5,299.0,5,1
2,10,224.9,5,1
2,11,270.8,5,1
2,17,427.9,5,1
2,30,61.0,5,1
2,48,346.6,5,1
2,62,142.9,5,1
2,65,66.5,5,1
2,66,171.0,5,1
3,4,413.1,5,1
3,5,404.4,5,1
3,10,324.9,5,1
3,11,305.6,5,1
3,17,68.2,5,1
3,24,282.7,5,1
3,29,147.6,5,1
3,30,299.4,5,1
3,43,199.7,5,1
3,44,223.7,5,1
3,45,264.6,5,1
3,48,208.4,5,1
3,62,268.8,5,1
3,63,449.5,5,1
3,64,324.5,5,1
3,65,293.9,5,1
3,66,198.4,5,1
3,83,434.3,5,1
3,89,145.6,5,1
3,90,496.2,5,1
4,17,359.1,5,1
4,24,312.9,5,1
4,29,314.0,5,1
4,43,220.8,5,1
4,44,210.7,5,1
4,45,172.4,5,1
4,48,433.9,5,1
4,53,464.5,5,1
4,63,312.3,5,1
4,64,246.7,5,1
4,67,332.5,5,1
4,69,271.4,5,1
4,73,251.4,5,1
4,83,327.1,5,1
4,89,304.7,5,1
4,90,120.6,5,1
5,10,93.1,5,1
5,11,99.2,5,1
5,17,458.6,5,1
5,18,315.2,5,1
5,30,296.0,5,1
5,34,473.0,5,1
5,35,495.4,5,1
5,36,482.5,5,1
5,43,462.7,5,1
5,44,454.1,5,1
5,45,482.9,5,1
5,46,418.0,5,1
5,47,322.7,5,1
5,48,229.6,5,1
5,57,496.3,5,1
5,61,426.0,5,1
5,62,197.8,5,1
5,63,447.6,5,1
5,64,415.5,5,1
5,65,296.0,5,1
5,66,263.1,5,1
5,81,436.1,5,1
5,83,419.1,5,1
6,7,76.8,5,1
6,13,98.2,5,1
6,15,111.0,5,1
6,20,122.1,5,1
6,22,101.4,5,1
6,47,373.7,5,1
6,49,452.5,5,1
